element_id,metric_name
jpcrp_cor:NetSalesSummaryOfBusinessResults,net_sales
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,ordinary_income
jpcrp_cor:NetAssetsSummaryOfBusinessResults,net_assets
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,total_assets
jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,basic_eps
jpcrp_cor:DilutedEarningsPerShareSummaryOfBusinessResults,diluted_eps
jpcrp_cor:EquityToAssetRatioSummaryOfBusinessResults,equity_to_asset_ratio
jpcrp_cor:NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,cf_operating
jpcrp_cor:NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,cf_investing
jpcrp_cor:NetCashProvidedByUsedInFinancingActivitiesSummaryOfBusinessResults,cf_financing
jpcrp_cor:CashAndCashEquivalentsSummaryOfBusinessResults,cash_and_equivalents
jppfs_cor:NetSales,pl_net_sales
jppfs_cor:OperatingIncome,pl_operating_income
jppfs_cor:ProfitLoss,pl_profit_loss
jppfs_cor:NetAssets,bs_net_assets
